Country,Subject Descriptor,Units,Scale,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
Afghanistan,"Gross domestic product, constant prices",Percent change,,n/a,n/a,n/a,n/a,8.692,0.671,11.83,5.361,13.34,3.863,20.585,8.438,6.479,13.968,5.683,2.697,0.988,2.164,2.665,2.3,3,3.5,3.997,4.495,4.992,5.489,2017
Afghanistan,"Gross domestic product, deflator",Index,,n/a,n/a,n/a,97.765,110.706,123.063,136.288,146.7,160.005,186.491,181.467,196.154,216.432,234.728,239.993,247.545,254.144,267.4,272.125,273.845,279.13,288.926,301.943,317.053,332.913,349.559,2017
Afghanistan,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,n/a,n/a,n/a,1026.919,1072.081,1038.717,1122.246,1146.868,1251.729,1267.823,1490.03,1570.952,1621.757,1788.776,1828.781,1819.26,1783.941,1774.189,1776.667,1792.807,1821.81,1860.603,1908.445,1967.262,2037.906,2121.456,2016
Afghanistan,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,n/a,n/a,n/a,0.034,0.036,0.034,0.037,0.037,0.039,0.04,0.048,0.05,0.051,0.056,0.057,0.057,0.056,0.055,0.054,0.054,0.054,0.054,0.054,0.054,0.055,0.056,2017
Afghanistan,Total investment,Percent of GDP,,n/a,n/a,n/a,27.243,30.103,35.354,37.051,29.492,55.856,30.226,36.507,30.269,26.407,25.34,23.093,17.46,18.481,18.533,17.717,17.076,16.539,16.228,16.795,20.662,21.585,22.24,2017
Afghanistan,Gross national savings,Percent of GDP,,n/a,n/a,n/a,61.151,59.719,72.57,67.277,50.337,119.246,63.994,78.094,59.698,52.981,36.204,23.367,23.219,21.342,25.728,22.462,21.856,17.526,17.44,17.754,20.424,20.528,20.543,2017
Afghanistan,"Inflation, average consumer prices",Index,,n/a,n/a,n/a,31.263,42.413,49.351,54.566,58.269,63.327,80.057,74.604,76.229,85.227,90.717,97.417,101.97,101.296,105.736,110.998,111.693,113.815,117.799,123.099,129.254,135.717,142.503,2017
Afghanistan,"Inflation, average consumer prices",Percent change,,n/a,n/a,n/a,n/a,35.663,16.358,10.569,6.785,8.681,26.419,-6.811,2.179,11.804,6.441,7.386,4.674,-0.662,4.384,4.976,0.626,1.9,3.5,4.5,5,5,5,2017
Afghanistan,Volume of imports of goods and services,Percent change,,n/a,n/a,n/a,n/a,34.585,0.844,56.662,-1.924,-9.622,-8.186,28.513,34.258,12.349,30.697,5.177,-15.896,15.562,-8.126,3.298,-1.111,3.751,-0.206,0.969,5.471,2.403,1.44,2017
Afghanistan,Volume of Imports of goods,Percent change,,n/a,n/a,n/a,n/a,33.828,-1.249,53.612,-0.181,-14.992,-4.067,26.221,36.285,7.088,35.113,8.807,-16.261,24.292,-7.351,0.77,-1.972,3.344,-0.652,0.382,4.855,1.684,1.975,2017
Afghanistan,Volume of exports of goods and services,Percent change,,n/a,n/a,n/a,n/a,48.778,-9.071,45.648,-7.403,-11.787,-6.5,29.976,12.521,0.286,-22.443,-38.259,51.723,-11.021,-17.135,-4.594,0.365,5.982,7.79,11.26,9.386,7.754,17.874,2017
Afghanistan,Volume of exports of goods,Percent change,,n/a,n/a,n/a,n/a,90.09,-28.746,16.106,-32.78,37.385,51.53,-21.25,-0.544,-12.113,6.299,9.797,35.009,13.666,10.972,18.355,2.228,8.215,8.527,9.333,9.88,8.695,20.013,2017
Afghanistan,Population,Persons,Millions,n/a,n/a,n/a,22.203,23.116,24.019,24.861,25.631,26.617,27.294,28.004,28.803,29.709,30.697,31.732,32.758,33.736,34.656,35.53,36.02,36.51,37,37.514,38.028,38.543,39.057,2016
Afghanistan,General government revenue,Percent of GDP,,n/a,n/a,n/a,6.845,9.826,12.676,14.733,18.946,18.986,17.036,19.391,21.722,21.265,25.21,24.346,23.684,24.569,26.116,25.25,27.983,25.994,29.081,30.147,31.326,32.731,32.687,2017
Afghanistan,General government total expenditure,Percent of GDP,,n/a,n/a,n/a,6.943,11.927,15.069,15.698,18.303,21.478,20.918,21.17,20.801,21.937,25.028,24.977,25.402,25.947,25.997,25.878,27.114,26.828,29.083,30.149,31.327,32.732,32.688,2017
Afghanistan,General government net lending/borrowing,Percent of GDP,,n/a,n/a,n/a,-0.098,-2.102,-2.393,-0.965,0.643,-2.492,-3.882,-1.779,0.922,-0.672,0.182,-0.631,-1.719,-1.378,0.118,-0.628,0.869,-0.834,-0.002,-0.002,-0.001,-0.001,-0.001,2017
Afghanistan,General government primary net lending/borrowing,Percent of GDP,,n/a,n/a,n/a,n/a,n/a,-2.393,-0.917,0.684,-2.462,-3.864,-1.761,0.933,-0.573,0.257,-0.544,-1.685,-1.326,0.178,-0.564,0.925,-0.798,0.027,0.035,0.052,0.073,0.091,2017
Afghanistan,General government gross debt,Percent of GDP,,n/a,n/a,n/a,345.977,270.602,244.967,206.356,22.985,20.137,19.057,16.247,7.709,7.513,6.769,6.914,8.7,9.133,7.823,7.004,7.079,6.884,7.03,7.263,7.532,7.776,8.057,2017
Afghanistan,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,n/a,n/a,n/a,178.756,220.013,246.21,304.926,345.817,427.495,517.509,607.227,711.759,836.222,1033.591,1116.827,1183.039,1226.57,1318.478,1377.535,1418.128,1488.861,1595.053,1733.539,1902.109,2096.951,2322.65,2017
Afghanistan,Current account balance,U.S. dollars,Billions,n/a,n/a,n/a,1.481,1.348,1.915,1.864,1.444,5.424,3.477,5.018,4.51,4.754,2.205,0.055,1.187,0.574,1.398,0.96,0.936,0.197,0.251,0.21,-0.056,-0.269,-0.468,2017
Afghanistan,Current account balance,Percent of GDP,,n/a,n/a,n/a,33.908,29.616,37.216,30.226,20.844,63.39,33.769,41.587,29.43,26.574,10.864,0.274,5.759,2.861,7.195,4.745,4.78,0.987,1.212,0.96,-0.238,-1.057,-1.697,2017
Albania,"Gross domestic product, constant prices",Percent change,,12.891,6.946,8.293,4.537,5.529,5.515,5.526,5.903,5.983,7.5,3.354,3.707,2.545,1.418,1.024,1.784,2.207,3.347,3.844,4.162,3.664,3.86,3.856,3.963,3.973,3.991,2017
Albania,"Gross domestic product, deflator",Index,,121.229,128.076,132.957,137.806,144.97,149.54,154.485,158.314,165.258,172.062,176.223,184.141,188.404,190.368,191.179,193.414,194.5,193.738,196.421,200.502,204.951,210.075,216.149,222.988,229.982,237.16,2017
Albania,"Gross domestic product per capita, constant prices",Purchasing power parity; 2011 international dollar,Units,4878.96,5251.229,5740.349,6018.785,6375.35,6755.111,7165.007,7635.952,8154.22,8833.316,9191.342,9579.496,9849.795,10005.93,10126.89,10328.955,10587.715,10959.542,11380.817,11861.93,12316.205,12812.042,13327.262,13877.579,14451.968,15052.683,2016
